IPO Name,Issue Open Date,Issue Close Date,Listing Date,Listing Exchange,Issue Price (Rs),Listing Price (Rs),Listing Gain (%),GMP ,Retail Subscription,NII Subscription,QIB Subscription,Issue Size (Rs.cr),Revenue (Rs),Profit (Rs),EPS,Promoter Holding (%),Lead Manager,Label,upper_price,lower_price,no_of_shares_cr,Year,IPO_Duration,Price_Band_Width,log_Issue_Size,Sub_Strength,Recommendation
CL Educate Ltd. IPO,2017-03-20,2017-03-22,2017-03-31,"BSE, NSE",502,505.0,0.6,3.0,1.63,0.21,3.65,238.95,299,23.32,8.05,48.06,Kotak Mahindra Capital,0.0,0,0,0,2017,2,0,5.480430568304255,2.214,Neutral
Avenue Supermarts Ltd. IPO,2017-03-08,2017-03-10,2017-03-21,"BSE, NSE",299,604.4,102.14,305.4,7.3,277.74,144.61,0.0,10009.68,387.49,6.97,82.2,Axis Capital,0.0,0,0,0,2017,2,0,0.0,157.08700000000002,Apply
Music Broadcast Ltd. IPO,2017-03-06,2017-03-08,2017-03-17,"BSE, NSE",333,345.0,3.6,12.0,9.85,109.13,39.78,488.53,279.8,33.3,5.9,75,ICICI Securities,0.0,0,0,0,2017,2,0,6.193445747120171,54.599,Apply
BSE Ltd. IPO,2017-01-23,2017-01-25,2017-02-03,NSE,806,1085.0,34.62,279.0,6.48,159.03,48.64,0.0,622.14,248.98,24.72,0,Axis Capital,0.0,0,0,0,2017,2,0,0.0,73.325,Apply
Garden Reach Shipbuilders & Engineers Ltd. IPO,2018-09-24,2018-10-01,2018-10-10,"BSE, NSE",118,103.2,-12.54,-14.8,0.24,0.31,1.81,343.59,1308.2,124.6,10.95,74.5,IDBI Capital Markets,0.0,0,0,0,2018,7,0,5.842355304520125,1.046,Avoid
IRCON International Ltd. IPO,2018-09-17,2018-09-19,2018-09-28,"BSE, NSE",475,430.0,-9.47,-45.0,9.66,4.92,12.29,466.93,3809.8,398.3,8.07,89.73,Axis Capital,0.0,0,0,0,2018,2,0,6.14831871208097,9.553,Avoid
CreditAccess Grameen Ltd. IPO,2018-08-08,2018-08-10,2018-08-23,"BSE, NSE",422,408.0,-3.32,-14.0,0.87,0.98,5.52,0.0,848,123.6,11,73.3,Credit Suisse Securities,0.0,0,0,0,2018,2,0,0.0,3.228,Avoid
HDFC Asset Management Co.Ltd. IPO (HDFC AMC IPO),2018-07-25,2018-07-27,2018-08-06,"BSE, NSE",1100,1739.0,58.09,639.0,6.57,195.15,192.26,0.0,1768.9,721.4,34,74.96,Axis Capital,0.0,0,0,0,2018,2,0,0.0,155.989,Apply
TCNS Clothing Co.Ltd. IPO,2018-07-18,2018-07-20,2018-07-30,"BSE, NSE",716,700.0,-2.23,-16.0,0.57,5.08,13.47,0.0,880,107.7,16.7,33.6,Citigroup Global,0.0,0,0,0,2018,2,0,0.0,8.373000000000001,Avoid
Varroc Engineering Ltd. IPO,2018-06-26,2018-06-28,2018-07-06,"BSE, NSE",967,967.0,0.0,0.0,0.84,2.45,9.15,0.0,11940.6,399.7,29.5,74.58,Citigroup Global,0.0,0,0,0,2018,2,0,0.0,5.478000000000001,Avoid
Fine Organic Industries Ltd. IPO,2018-06-20,2018-06-22,2018-07-02,"BSE, NSE",783,828.0,5.75,45.0,14.24,194.56,71.71,600.17,730.8,72.5,23.63,75,Edelweiss Financial,0.0,0,0,0,2018,2,0,6.398877756434162,97.07099999999998,Apply
RITES Ltd. IPO,2018-06-20,2018-06-22,2018-07-02,"BSE, NSE",185,190.0,2.7,5.0,1.19,21.0,12.85,460.51,1691,355.7,14.23,87.4,Elara Capital,0.0,0,0,0,2018,2,0,6.134503722180521,12.963,Neutral
IndoStar Capital Finance Ltd. IPO,2018-05-09,2018-05-11,2018-05-21,"BSE, NSE",572,572.0,0.0,0.0,1.17,6.91,16.08,0.0,1114.7,264.9,24.7,60,JM Financial,0.0,0,0,0,2018,2,0,0.0,10.347,Avoid
Lemon Tree Hotels Ltd. IPO,2018-03-26,2018-03-28,2018-04-09,"BSE, NSE",56,51.0,-8.93,-5.0,0.12,0.12,3.88,0.0,498.8,-36.6,Negative,39.52,CLSA,0.0,0,0,0,2018,2,0,0.0,2.0,Avoid
ICICI Securities Ltd. IPO,2018-03-22,2018-03-26,2018-04-04,"BSE, NSE",520,435.0,-16.35,-85.0,0.89,0.36,1.04,0.0,1757.2,447.8,14.12,79.31,BOFA Securities,0.0,0,0,0,2018,4,0,0.0,0.806,Avoid
Mishra Dhatu Nigam Ltd. IPO,2018-03-21,2018-03-23,2018-04-04,"BSE, NSE",90,95.0,5.56,5.0,0.72,0.13,1.96,435.02,643,111.4,5.96,74,IDBI Capital Markets,0.0,0,0,0,2018,2,0,6.0776881138566,1.1629999999999998,Avoid
Sandhar Technologies Ltd. IPO,2018-03-19,2018-03-21,2018-04-02,"BSE, NSE",332,344.0,3.61,12.0,1.31,6.39,14.5,512.48,1970,80.2,12.3,46.4,Axis Capital,0.0,0,0,0,2018,2,0,6.2412110802167255,9.429,Neutral
Karda Constructions Ltd. IPO,2018-03-16,2018-03-21,2018-04-02,"BSE, NSE",180,180.0,0.0,0.0,2.01,3.44,1.55,77.4,72.2,11.5,3.58,71.95,Aryaman Financial,0.0,0,0,0,2018,5,0,4.361823927356363,2.209,Avoid
Hindustan Aeronautics Ltd. IPO,2018-03-16,2018-03-20,2018-03-28,"BSE, NSE",1215,1175.0,-3.29,-40.0,0.39,0.03,1.73,0.0,17411,2070.3,61.3,89.97,Axis Capital,0.0,0,0,0,2018,4,0,0.0,0.952,Avoid
Bandhan Bank Ltd. IPO,2018-03-15,2018-03-19,2018-03-27,"BSE, NSE",375,485.0,29.33,110.0,1.06,13.89,38.68,0.0,4320.3,1348.6,11.84,82.28,Axis Bank,0.0,0,0,0,2018,4,0,0.0,23.719,Apply
Bharat Dynamics Ltd. IPO,2018-03-13,2018-03-15,2018-03-23,"BSE, NSE",428,340.0,-20.56,-88.0,1.37,0.5,1.5,952.25,5127.1,328.6,9.8,87.75,IDBI Capital Markets,0.0,0,0,0,2018,2,0,6.859877198737673,1.174,Avoid
H.G.Infra Engineering Ltd. IPO,2018-02-26,2018-02-28,2018-03-09,"BSE, NSE",270,270.0,0.0,0.0,3.08,4.97,8.37,462.0,970.3,49.3,7.55,74.05,HDFC Bank,0.0,0,0,0,2018,2,0,6.137727054086234,6.292,Avoid
Aster DM Healthcare Ltd. IPO,2018-02-12,2018-02-15,2018-02-26,"BSE, NSE",190,190.0,0.0,0.0,1.18,0.55,2.1,980.14,6231,-192.1,Negative,41.8,Axis Bank,0.0,0,0,0,2018,3,0,6.888715160901901,1.451,Avoid
Galaxy Surfactants Ltd. IPO,2018-01-29,2018-01-31,2018-02-08,"BSE, NSE",1480,1550.0,4.73,70.0,5.92,6.96,54.27,937.09,2763,191,53.87,72.96,Edelweiss Financial,0.0,0,0,0,2018,2,0,6.843845893230722,30.407000000000004,Apply
Amber Enterprises India Ltd. IPO,2018-01-17,2018-01-19,2018-01-30,"BSE, NSE",859,855.0,-0.47,-4.0,11.57,519.26,174.99,599.6,2106,71.7,25.04,40.54,BNP Paribas,0.0,0,0,0,2018,2,0,6.39792915554923,245.587,Avoid
Newgen Software Technologies Ltd. IPO,2018-01-16,2018-01-18,2018-01-29,"BSE, NSE",245,253.0,3.27,8.0,5.18,5.52,15.62,424.62,466.8,95.9,15.55,55.02,ICICI Securities,0.0,0,0,0,2018,2,0,6.053546929404526,10.502,Neutral
Apollo Micro Systems Ltd. IPO,2018-01-10,2018-01-12,2018-01-22,"BSE, NSE",275,47.0,-82.91,-228.0,40.19,958.07,101.93,156.0,202.9,15.6,6.97,59.57,Aryaman Financial,0.0,0,0,0,2018,2,0,5.056245805348308,346.424,Avoid
Prince Pipes & Fittings Ltd. IPO,2019-12-18,2019-12-20,2019-12-30,"BSE, NSE",178,160.0,-10.11,-18.0,1.89,1.21,3.54,500.0,1586.1,57,5.15,60.94,Edelweiss Financial,0.0,0,0,0,2019,2,0,6.2166061010848646,2.511,Avoid
Ujjivan Small Finance Bank Ltd. IPO,2019-12-02,2019-12-04,2019-12-12,"BSE, NSE",37,58.0,56.76,21.0,48.97,473.0,110.72,745.95,2755.7,199.1,2.15,83.33,IIFL Capital,0.0,0,0,0,2019,2,0,6.615998248488326,207.054,Apply
CSB Bank Ltd. IPO,2019-11-22,2019-11-26,2019-12-04,"BSE, NSE",195,275.0,41.03,80.0,44.46,164.68,62.18,409.68,1482,48,4.09,50.1,Axis Capital,0.0,0,0,0,2019,4,0,6.017814322430764,89.386,Apply
Vishwaraj Sugar Industries Ltd. IPO,2019-09-30,2019-10-04,2019-10-15,"BSE, NSE",60,60.0,0.0,0.0,0.64,1.76,1.0,60.0,313.6,17.6,8.5,40,Aryaman Financial,0.0,0,0,0,2019,4,0,4.110873864173311,1.156,Avoid
Indian Railway Catering & Tourism Corp.Ltd. IPO (IRCTC IPO),2019-09-30,2019-10-03,2019-10-14,"BSE, NSE",320,626.0,95.63,306.0,14.83,354.52,108.79,637.97,1956.7,272.6,17,87.4,IDBI Capital Markets,0.0,0,0,0,2019,3,0,6.459857504918618,163.717,Apply
Sterling & Wilson Solar Ltd. IPO,2019-08-06,2019-08-08,2019-08-20,"BSE, NSE",780,700.0,-10.26,-80.0,0.3,0.89,1.02,0.0,8240.2,583.5,30.6,75.11,Axis Capital,0.0,0,0,0,2019,2,0,0.0,0.837,Avoid
Spandana Sphoorty Financial Ltd. IPO,2019-08-05,2019-08-07,2019-08-19,"BSE, NSE",856,850.0,-0.7,-6.0,0.09,0.55,3.11,0.0,1180,303,50.7,60,Axis Capital,0.0,0,0,0,2019,2,0,0.0,1.738,Avoid
Affle (India) Ltd. IPO,2019-07-29,2019-07-31,2019-08-08,"BSE, NSE",745,925.0,24.16,180.0,10.94,198.69,55.31,459.0,251.5,40.5,10.3,58.55,ICICI Securities,0.0,0,0,0,2019,2,0,6.131226489483141,89.45,Apply
IndiaMART InterMESH Ltd. IPO,2019-06-24,2019-06-26,2019-07-04,"BSE, NSE",973,1181.0,21.38,208.0,14.07,62.13,30.83,475.49,643,20,7.14,53.3,Edelweiss Financial,0.0,0,0,0,2019,2,0,6.166446736515173,36.868,Apply
Neogen Chemicals Ltd. IPO,2019-04-24,2019-04-26,2019-05-08,"BSE, NSE",215,251.0,16.74,36.0,15.86,113.88,30.49,132.35,215.8,15.6,7.1,61.01,Batlivala & Karani,0.0,0,0,0,2019,2,0,4.892977250628023,52.58099999999999,Apply
Polycab India Ltd. IPO,2019-04-05,2019-04-09,2019-04-16,"BSE, NSE",538,548.0,1.86,10.0,4.5,110.42,92.44,0.0,6940.7,523.6,37.6,68.79,Axis Capital,0.0,0,0,0,2019,4,0,0.0,80.24600000000001,Apply
Metropolis Healthcare Ltd. IPO,2019-04-03,2019-04-05,2019-04-15,"BSE, NSE",880,960.0,9.09,80.0,2.15,3.03,8.88,0.0,762,121.7,23.9,41.43,Credit Suisse Securities,0.0,0,0,0,2019,2,0,0.0,5.779,Neutral
Rail Vikas Nigam Ltd. IPO,2019-03-29,2019-04-03,2019-04-11,"BSE, NSE",19,19.0,0.0,0.0,2.92,0.8,1.36,476.86,9331,743,3.55,87.84,Elara Capital,0.0,0,0,0,2019,5,0,6.169317802562385,1.504,Avoid
MSTC Ltd. IPO,2019-03-13,2019-03-20,2019-03-29,"BSE, NSE",120,111.0,-7.5,-9.0,2.95,2.15,1.13,211.04,363,112,15.9,89.98,Equirus Capital,0.0,0,0,0,2019,7,0,5.3567749361196055,1.8,Avoid
Chalet Hotels Ltd. IPO,2019-01-29,2019-01-31,2019-02-07,"BSE, NSE",280,298.0,6.43,18.0,0.03,1.1,4.66,0.0,1069,102.5,5,71.18,Axis Capital,0.0,0,0,0,2019,2,0,0.0,2.666,Neutral
Xelpmoc Design & Tech Ltd. IPO,2019-01-23,2019-01-25,2019-02-04,"BSE, NSE",66,66.0,0.0,0.0,2.64,7.69,1.24,23.0,15.6,-1.2,Negative,26.88,ITI Capital,0.0,0,0,0,2019,2,0,3.1780538303479458,3.455,Avoid
Antony Waste Handling Cell Ltd. IPO,2020-12-21,2020-12-23,2021-01-01,"BSE, NSE",315,430.0,36.51,115.0,16.55,18.69,9.67,299.99,450.5,62,23.3,32.96,Equirus Capital,0.0,0,0,0,2020,2,0,5.707077041605631,13.752,Apply
Mrs.Bectors Food Specialities Ltd. IPO,2020-12-15,2020-12-17,2020-12-24,"BSE, NSE",288,501.0,73.96,213.0,29.33,620.86,176.85,540.54,762,30.4,5.1,49.04,ICICI Securities,0.0,0,0,0,2020,2,0,6.294416932595607,280.549,Apply
Burger King India Ltd. IPO,2020-12-02,2020-12-04,2020-12-14,"BSE, NSE",60,60.0,0.0,0.0,68.15,354.11,86.64,810.0,841.2,-76.4,Negative,52.93,CLSA,0.0,0,0,0,2020,2,0,6.698268054115413,163.183,Avoid
Gland Pharma Ltd. IPO,2020-11-09,2020-11-11,2020-11-20,"BSE, NSE",1500,1710.0,14.0,210.0,0.24,0.51,6.4,0.0,2633.2,772.8,46.8,51.83,Citigroup Global,0.0,0,0,0,2020,2,0,0.0,3.401,Apply
Equitas Small Finance Bank Ltd. IPO,2020-10-20,2020-10-22,2020-11-02,"BSE, NSE",33,31.0,-6.06,-2.0,2.08,0.22,3.91,517.6,3892,243.6,4.29,81.75,Edelweiss Financial,0.0,0,0,0,2020,2,0,6.251132873104564,2.437,Avoid
Likhitha Infrastructure Ltd. IPO,2020-09-29,2020-10-07,2020-10-15,"BSE, NSE",120,120.0,0.0,0.0,23.71,1.54,21.99,61.2,157,20,10.1,73.49,Unistone Capital,0.0,0,0,0,2020,8,0,4.130354999745133,16.198999999999998,Avoid
UTI Asset Management Co.Ltd. IPO (UTI AMC IPO),2020-09-29,2020-10-01,2020-10-12,"BSE, NSE",554,490.0,-11.55,-64.0,2.32,0.93,3.34,0.0,482.7,277.6,21.8,0,Axis Capital,0.0,0,0,0,2020,2,0,0.0,2.413,Avoid
Mazagon Dock Shipbuilders Ltd. IPO,2020-09-29,2020-10-01,2020-10-12,"BSE, NSE",145,215.0,48.28,70.0,35.63,678.88,89.71,443.69,4898,477.1,24.33,89.84,Axis Capital,0.0,0,0,0,2020,2,0,6.097377410193878,255.645,Apply
Angel Broking Ltd. IPO,2020-09-22,2020-09-24,2020-10-05,"BSE, NSE",306,275.0,-10.13,-31.0,4.31,0.69,5.74,600.0,710,87,11.2,43.91,Edelweiss Financial,0.0,0,0,0,2020,2,0,6.398594934535208,3.939,Avoid
Computer Age Management Services Ltd. IPO (CAMS IPO),2020-09-21,2020-09-23,2020-10-01,BSE,1230,1500.0,21.95,270.0,5.54,111.85,73.18,0.0,711.6,154.6,32.5,31.02,HDFC Bank,0.0,0,0,0,2020,2,0,0.0,71.25300000000001,Apply
Chemcon Speciality Chemicals Ltd. IPO,2020-09-21,2020-09-23,2020-10-01,"BSE, NSE",340,731.0,115.0,391.0,41.15,449.14,113.54,318.0,266.3,49.3,13.5,74.5,Ambit,0.0,0,0,0,2020,2,0,5.765191102784844,199.742,Apply
Route Mobile Ltd. IPO,2020-09-09,2020-09-11,2020-09-21,"BSE, NSE",350,708.0,102.29,358.0,12.67,192.81,89.76,600.0,977.7,79.2,16.5,64.12,Axis Capital,0.0,0,0,0,2020,2,0,6.398594934535208,105.257,Apply
Happiest Minds Technologies Ltd. IPO,2020-09-07,2020-09-09,2020-09-17,"BSE, NSE",166,351.0,111.45,185.0,70.94,351.46,77.43,702.02,698.2,71.7,5.4,53.25,ICICI Securities,0.0,0,0,0,2020,2,0,6.555385340908119,158.34099999999998,Apply
Rossari Biotech Ltd. IPO,2020-07-13,2020-07-15,2020-07-23,"BSE, NSE",425,826.0,94.35,401.0,7.23,239.83,85.26,496.25,603.8,65.3,13.04,73.34,Axis Bank,0.0,0,0,0,2020,2,0,6.209092917734082,116.025,Apply
SBI Cards & Payment Services Ltd. IPO,2020-03-02,2020-03-05,2020-03-16,"BSE, NSE",755,661.25,-12.42,-93.75,2.5,45.23,57.18,0.0,9807,1245,13.5,68.59,Axis Capital,0.0,0,0,0,2020,3,0,0.0,42.659,Avoid
CMS Info Systems Ltd. IPO,2021-12-21,2021-12-23,2021-12-31,"BSE, NSE",216,250.0,15.74,34.0,2.15,1.45,1.98,0.0,1343.34,168.52,13.62,0,Axis Capital,0.0,0,0,0,2021,2,0,0.0,1.855,Apply
Supriya Lifescience Ltd. IPO,2021-12-16,2021-12-20,2021-12-28,"BSE, NSE",274,425.0,55.11,151.0,56.01,161.22,31.83,700.0,939.95,123.83,17.06,63.26,Axis Capital,0.0,0,0,0,2021,4,0,6.55250788703459,75.483,Apply
HP Adhesives Ltd. IPO,2021-12-15,2021-12-17,2021-12-27,"BSE, NSE",274,315.0,14.96,41.0,81.24,19.04,1.82,125.96,118.33,10.06,7.78,70.61,Unistone Capital,0.0,0,0,0,2021,2,0,4.843872076218154,22.87,Apply
Data Patterns (India) Ltd. IPO,2021-12-14,2021-12-16,2021-12-24,"BSE, NSE",585,864.0,47.69,279.0,23.14,254.22,190.86,588.22,223.95,55.42,10.96,48.65,IIFL Capital,0.0,0,0,0,2021,2,0,6.3787996283436765,176.324,Apply
Medplus Health Services Ltd. IPO,2021-12-13,2021-12-15,2021-12-23,"BSE, NSE",796,1040.0,30.65,244.0,5.24,85.33,111.9,0.0,3059.29,63.11,5.39,39.98,Axis Capital,0.0,0,0,0,2021,2,0,0.0,82.59700000000001,Apply
Metro Brands Ltd. IPO,2021-12-10,2021-12-14,2021-12-22,"BSE, NSE",500,436.0,-12.8,-64.0,1.13,3.02,8.49,0.0,800.08,64.62,2.37,74.28,Ambit,0.0,0,0,0,2021,4,0,0.0,5.377,Avoid
C.E.Info systems Ltd. IPO,2021-12-09,2021-12-13,2021-12-21,"BSE, NSE",1033,2020.0,95.55,987.0,15.2,424.69,196.36,0.0,153.72,59.43,11.05,53.73,Axis Capital,0.0,0,0,0,2021,4,0,0.0,228.627,Apply
Shriram Properties Ltd. IPO,2021-12-08,2021-12-10,2021-12-20,"BSE, NSE",118,97.0,-17.8,-21.0,12.72,4.82,1.85,600.04,431.5,-68.48,Negative,27.95,Axis Capital,0.0,0,0,0,2021,2,0,6.398661488060905,4.915000000000001,Avoid
Rategain Travel Technologies Ltd. IPO,2021-12-07,2021-12-09,2021-12-17,"BSE, NSE",425,360.0,-15.29,-65.0,8.08,42.04,8.42,0.0,250.78,-28.58,Negative,56.09,IIFL Capital,0.0,0,0,0,2021,2,0,0.0,18.438,Avoid
Anand Rathi Wealth Ltd. IPO,2021-12-02,2021-12-06,2021-12-14,"BSE, NSE",550,600.0,9.09,50.0,7.76,25.42,2.5,659.38,273.79,45.1,10.88,45.24,Anand Rathi Advisors,0.0,0,0,0,2021,4,0,6.492815426911429,10.428,Neutral
Tega Industries Ltd. IPO,2021-12-01,2021-12-03,2021-12-13,"BSE, NSE",453,760.0,67.77,307.0,29.44,666.19,215.45,619.23,803.11,136.25,20.06,79.17,Axis Capital,0.0,0,0,0,2021,2,0,6.430090376989552,313.47,Apply
Star Health & Allied Insurance Co.Ltd. IPO,2021-11-30,2021-12-02,2021-12-10,"BSE, NSE",900,848.0,-5.78,-52.0,1.1,0.19,1.03,0.0,9033.4,-825.4,Negative,62.83,Ambit,0.0,0,0,0,2021,2,0,0.0,0.792,Avoid
Go Fashion (India) Ltd. IPO,2021-11-17,2021-11-22,2021-11-30,"BSE, NSE",690,1316.0,90.72,626.0,49.7,262.08,100.73,0.0,257.37,-47.38,Negative,52.75,Dam Capital,0.0,0,0,0,2021,5,0,0.0,138.929,Apply
Tarsons Products Ltd. IPO,2021-11-15,2021-11-17,2021-11-26,"BSE, NSE",662,671.0,1.36,9.0,10.56,184.58,115.77,0.0,234.34,68.96,13.78,57.06,Edelweiss Financial,0.0,0,0,0,2021,2,0,0.0,115.371,Apply
Latent View Analytics Ltd. IPO,2021-11-10,2021-11-12,2021-11-23,"BSE, NSE",197,530.0,169.04,333.0,119.44,850.66,145.48,600.0,315.65,91.46,10.59,67.58,Axis Capital,0.0,0,0,0,2021,2,0,6.398594934535208,351.826,Apply
Sapphire Foods India Ltd. IPO,2021-11-09,2021-11-11,2021-11-18,"BSE, NSE",1180,1379.0,16.86,199.0,8.7,3.46,7.5,0.0,1023.7,-99.89,Negative,0,BOFA Securities,0.0,0,0,0,2021,2,0,0.0,6.5280000000000005,Apply
One 97 Communications Ltd. IPO (Paytm IPO),2021-11-08,2021-11-10,2021-11-18,"BSE, NSE",2150,1950.0,-9.3,-200.0,1.66,0.24,2.79,0.0,3186.13,-1701,Negative,0,Axis Capital,0.0,0,0,0,2021,2,0,0.0,1.7990000000000002,Avoid
Sigachi Industries Ltd. IPO,2021-11-01,2021-11-03,2021-11-15,"BSE, NSE",163,570.0,249.69,407.0,80.49,172.43,86.51,125.43,193.3,30.25,10.87,68.64,Unistone Capital,0.0,0,0,0,2021,2,0,4.839688795323807,111.082,Apply
PB Fintech Ltd. IPO,2021-11-01,2021-11-03,2021-11-15,"BSE, NSE",980,1710.0,74.49,730.0,3.31,7.82,24.89,0.0,886.66,-298.86,Negative,14.5,Citigroup Global,0.0,0,0,0,2021,2,0,0.0,15.453,Apply
S.J.S.Enterprises Ltd. IPO,2021-11-01,2021-11-03,2021-11-15,"BSE, NSE",542,548.0,1.11,6.0,1.38,2.32,1.42,800.0,251.64,43.08,8.23,65.85,Axis Capital,0.0,0,0,0,2021,2,0,6.68586094706836,1.682,Avoid
Fino Payments Bank Ltd. IPO,2021-10-29,2021-11-02,2021-11-12,"BSE, NSE",577,570.0,-1.21,-7.0,5.92,0.21,1.65,0.0,791,20.47,2.56,75,Axis Capital,0.0,0,0,0,2021,4,0,0.0,2.072,Avoid
FSN E-Commerce Ventures Ltd. IPO,2021-10-28,2021-11-01,2021-11-10,"BSE, NSE",1125,2050.0,82.22,925.0,12.24,112.02,91.18,0.0,2440.89,61.95,0.27,52.36,BOFA Securities,0.0,0,0,0,2021,4,0,0.0,81.644,Apply
Aditya Birla Sun Life AMC Ltd. IPO,2021-09-29,2021-10-01,2021-10-11,"BSE, NSE",712,712.0,0.0,0.0,3.24,4.39,10.36,0.0,1200.56,526.28,18.28,86.5,Axis Capital,0.0,0,0,0,2021,2,0,0.0,7.145,Avoid
Paras Defence & Space Technologies Ltd. IPO,2021-09-21,2021-09-23,2021-10-01,"BSE, NSE",175,475.0,171.43,300.0,112.81,927.7,169.65,170.78,143,15.79,4.41,59.34,Anand Rathi Advisors,0.0,0,0,0,2021,2,0,5.146214588338078,385.697,Apply
Sansera Engineering Ltd. IPO,2021-09-14,2021-09-16,2021-09-24,"BSE, NSE",744,811.5,9.07,67.5,3.15,11.37,26.47,0.0,1348.8,110.15,21.57,47.78,ICICI Securities,0.0,0,0,0,2021,2,0,0.0,17.276,Neutral
